state_id,domain,entity_id,state,attributes,event_id,last_changed,last_updated,created,old_state_id,attributes_id,origin_idx,context_id,context_user_id,context_parent_id,last_updated_ts,last_changed_ts
215376860,NULL,sensor.water_tank_liters,8914,NULL,NULL,NULL,2023-01-15 09:11:58.138854,NULL,215376822,29,0,01GPTB69XT20ZFY1BD8QWMBGMA,NULL,NULL,1673773918.13885,NULL
223069078,NULL,sensor.water_tank_liters,8907,NULL,NULL,NULL,2023-02-01 07:35:40.510686,NULL,223068977,29,0,01GR5YE6PYZFCXA63GAV51EARC,NULL,NULL,1675236940.51069,NULL
236011467,NULL,sensor.water_tank_liters,7780,NULL,NULL,NULL,NULL,NULL,236011357,29,0,01GT75Q5W31DE02ZKW7P98N6DT,NULL,NULL,1677425612.67653,NULL
242039233,NULL,sensor.water_tank_liters,8820,NULL,NULL,NULL,NULL,NULL,242039141,29,0,01GV4BQXHPSFQGQSJ8Q3JFS06K,NULL,NULL,1678405006.90412,NULL
229398208,NULL,sensor.water_tank_liters,8920,NULL,NULL,NULL,NULL,NULL,229398106,29,0,01GS5VKWHSWFZRH1GYEDSE5Y79,NULL,NULL,1676307722.8108,NULL
220735287,NULL,sensor.water_tank_liters,8908,NULL,NULL,NULL,2023-01-27 03:04:56.968851,NULL,220735247,29,0,01GQRJYWW7YD8A4W4MSNNTSA62,NULL,NULL,1674788696.96885,NULL
225139128,NULL,sensor.water_tank_liters,8895,NULL,NULL,NULL,2023-02-05 12:41:34.361085,NULL,225139070,29,0,01GRGSH6CQB0ATFX6G1TZ72JBT,NULL,NULL,1675600894.36109,NULL
224428317,NULL,sensor.water_tank_liters,8918,NULL,NULL,NULL,2023-02-04 01:43:48.181970,NULL,224428280,29,0,01GRD1G26NP4PD942SN6HPDPDS,NULL,NULL,1675475028.18197,NULL
223058623,NULL,sensor.water_tank_liters,8910,NULL,NULL,NULL,2023-02-01 07:07:45.564607,NULL,223058602,29,0,01GR5WV30WEEHWG54X3K777MGQ,NULL,NULL,1675235265.56461,NULL
234547082,NULL,sensor.water_tank_liters,8914,NULL,NULL,NULL,NULL,NULL,234547017,29,0,01GSZSZ68GKZ9A57B8VND5V16G,NULL,NULL,1677178411.28116,NULL
